Request id,Pickup point,Driver ID,Status,Pickup Date,Pickup Time,Drop Date,Drop Time,Day Of Week,Hour_of_Pickup,Time_slots,Ride_Sucess,Car_Avaibility
1,Airport,285,Trip Completed,07-11-2016,12:20:00 AM,07-11-2016,12:50:59 AM,Monday,0,Late Night,Full_Filled,Availaible
2,Airport,0,No Cars Available,07-11-2016,12:23:00 AM,NA,NA,Monday,0,Late Night,Not Availaible,No Car Availaible
3,Airport,80,Trip Completed,07-11-2016,12:24:00 AM,07-11-2016,1:31:00 AM,Monday,0,Late Night,Full_Filled,Availaible
4,City,0,No Cars Available,07-11-2016,12:36:59 AM,NA,NA,Monday,0,Late Night,Not Availaible,No Car Availaible
5,Airport,264,Trip Completed,07-11-2016,12:36:00 AM,07-11-2016,1:34:59 AM,Monday,0,Late Night,Full_Filled,Availaible
6,City,0,No Cars Available,07-11-2016,12:36:00 AM,NA,NA,Monday,0,Late Night,Not Availaible,No Car Availaible
7,Airport,0,No Cars Available,07-11-2016,12:30:00 AM,NA,NA,Monday,0,Late Night,Not Availaible,No Car Availaible
8,City,0,No Cars Available,07-11-2016,12:40:00 AM,NA,NA,Monday,0,Late Night,Not Availaible,No Car Availaible
9,Airport,235,Trip Completed,07-11-2016,12:45:00 AM,07-11-2016,2:00:00 AM,Monday,0,Late Night,Full_Filled,Availaible
10,City,228,Trip Completed,07-11-2016,12:53:59 AM,07-11-2016,1:59:00 AM,Monday,0,Late Night,Full_Filled,Availaible
11,City,198,Trip Completed,07-11-2016,12:59:59 AM,07-11-2016,1:53:00 AM,Monday,0,Late Night,Full_Filled,Availaible
12,City,0,No Cars Available,07-11-2016,1:08:00 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
13,City,119,Trip Completed,07-11-2016,1:08:00 AM,07-11-2016,1:57:59 AM,Monday,1,Late Night,Full_Filled,Availaible
14,Airport,0,No Cars Available,07-11-2016,1:09:59 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
15,City,0,No Cars Available,07-11-2016,1:15:00 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
16,Airport,0,No Cars Available,07-11-2016,1:09:00 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
17,Airport,0,No Cars Available,07-11-2016,1:15:59 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
18,City,201,Cancelled,07-11-2016,1:15:59 AM,NA,NA,Monday,1,Late Night,Cancelled,Availaible
19,City,0,No Cars Available,07-11-2016,1:14:00 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
20,Airport,0,No Cars Available,07-11-2016,1:22:59 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
21,Airport,194,Trip Completed,07-11-2016,1:28:59 AM,07-11-2016,2:04:59 AM,Monday,1,Late Night,Full_Filled,Availaible
22,Airport,0,No Cars Available,07-11-2016,1:40:00 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
23,City,0,No Cars Available,07-11-2016,1:38:00 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
24,Airport,0,No Cars Available,07-11-2016,1:47:59 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
25,Airport,0,No Cars Available,07-11-2016,1:44:59 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
26,Airport,0,No Cars Available,07-11-2016,1:48:59 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
27,Airport,0,No Cars Available,07-11-2016,1:48:59 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
28,City,0,No Cars Available,07-11-2016,2:01:59 AM,NA,NA,Monday,2,Late Night,Not Availaible,No Car Availaible
29,City,0,No Cars Available,07-11-2016,1:54:59 AM,NA,NA,Monday,1,Late Night,Not Availaible,No Car Availaible
30,Airport,297,Trip Completed,07-11-2016,2:03:59 AM,07-11-2016,2:36:59 AM,Monday,2,Late Night,Full_Filled,Availaible
31,City,0,No Cars Available,07-11-2016,2:10:00 AM,NA,NA,Monday,2,Late Night,Not Availaible,No Car Availaible
32,Airport,0,No Cars Available,07-11-2016,2:15:00 AM,NA,NA,Monday,2,Late Night,Not Availaible,No Car Availaible
33,Airport,170,Trip Completed,07-11-2016,2:16:59 AM,07-11-2016,3:30:59 AM,Monday,2,Late Night,Full_Filled,Availaible
34,City,78,Trip Completed,07-11-2016,2:19:59 AM,07-11-2016,3:33:59 AM,Monday,2,Late Night,Full_Filled,Availaible
35,City,107,Trip Completed,07-11-2016,2:35:59 AM,07-11-2016,3:02:59 AM,Monday,2,Late Night,Full_Filled,Availaible
36,City,0,No Cars Available,07-11-2016,2:32:59 AM,NA,NA,Monday,2,Late Night,Not Availaible,No Car Availaible
37,Airport,0,No Cars Available,07-11-2016,2:33:59 AM,NA,NA,Monday,2,Late Night,Not Availaible,No Car Availaible
38,City,0,No Cars Available,07-11-2016,2:39:00 AM,NA,NA,Monday,2,Late Night,Not Availaible,No Car Availaible
39,Airport,0,No Cars Available,07-11-2016,2:48:00 AM,NA,NA,Monday,2,Late Night,Not Availaible,No Car Availaible
40,Airport,0,No Cars Available,07-11-2016,2:42:00 AM,NA,NA,Monday,2,Late Night,Not Availaible,No Car Availaible
41,City,109,Trip Completed,07-11-2016,2:46:59 AM,07-11-2016,3:23:00 AM,Monday,2,Late Night,Full_Filled,Availaible
42,Airport,0,No Cars Available,07-11-2016,2:55:00 AM,NA,NA,Monday,2,Late Night,Not Availaible,No Car Availaible
43,City,0,No Cars Available,07-11-2016,3:05:59 AM,NA,NA,Monday,3,Late Night,Not Availaible,No Car Availaible
44,Airport,0,No Cars Available,07-11-2016,3:07:00 AM,NA,NA,Monday,3,Late Night,Not Availaible,No Car Availaible
45,Airport,12,Trip Completed,07-11-2016,3:17:00 AM,07-11-2016,4:09:00 AM,Monday,3,Late Night,Full_Filled,Availaible
46,Airport,0,No Cars Available,07-11-2016,3:15:59 AM,NA,NA,Monday,3,Late Night,Not Availaible,No Car Availaible
47,City,124,Trip Completed,07-11-2016,3:21:59 AM,07-11-2016,4:34:59 AM,Monday,3,Late Night,Full_Filled,Availaible
48,City,150,Trip Completed,07-11-2016,3:14:00 AM,07-11-2016,4:18:59 AM,Monday,3,Late Night,Full_Filled,Availaible
